21,Which collection is synchronized?,ArrayList,Vector,LinkedList,HashMap,B,Vector is synchronized unlike ArrayList,Collections,,
22,What is the difference between HashMap and TreeMap?,Ordering,Synchronization,Type safety,All of the above,A,"TreeMap maintains sorted order, HashMap does not",Collections,,
23,What does the diamond operator <> do?,Type inference,Type declaration,Type casting,Type conversion,A,Diamond operator allows type inference in generics,Generics,,
24,What is a functional interface?,Interface with multiple methods,Interface with single abstract method,Interface with no methods,Interface with static methods,B,Functional interface has exactly one abstract method,Lambda Expression,,
25,What is the Observer design pattern used for?,Object creation,Notification mechanism,Data storage,Method calling,B,Observer pattern implements notification mechanism,Design patterns,,
26,What is checked exception?,Exception checked at runtime,Exception checked at compile time,Exception not checked,Exception ignored,B,Checked exceptions are verified at compile time,Exception Handling,,
27,What is the default access modifier for class members?,public,private,protected,package-private,D,Default access is package-private,Access modifiers,,
28,What is abstraction?,Hiding implementation details,Showing all details,Copying details,Deleting details,A,Abstraction hides implementation and shows only essential features,OOP Concepts,,
29,Which keyword is used to create abstract methods?,abstract,final,static,synchronized,A,Abstract keyword is used for abstract methods,OOP Concepts,,
30,What is the difference between interface and abstract class?,Multiple inheritance,Method implementation,Variable declaration,All of the above,D,"Interfaces support multiple inheritance, can have default methods, and different variable rules",OOP Concepts,,
31,Which collection allows null values?,ArrayList,TreeSet,TreeMap values,Both A and C,D,"ArrayList and TreeMap values allow null, TreeSet does not",Collections,,
32,What is the initial capacity of HashMap?,8,16,32,64,B,HashMap has default initial capacity of 16,Collections,,
33,What is type erasure in generics?,Removing generic type info at runtime,Adding type info,Changing type info,Copying type info,A,Type erasure removes generic type information at runtime,Generics,,
34,What is method reference in Java 8?,Shorthand for lambda,Longhand for lambda,Alternative to lambda,Replacement for lambda,A,Method reference is shorthand notation for lambda expressions,Lambda Expression,,
35,What is the Factory Method pattern?,Creating objects through interface,Creating objects directly,Destroying objects,Copying objects,A,Factory Method creates objects through a common interface,Design patterns,,
36,What is runtime exception?,Exception at compile time,Exception at runtime,No exception,Checked exception,B,Runtime exceptions occur during program execution,Exception Handling,,
37,What does public access modifier allow?,Access everywhere,Access in package only,Access in class only,No access,A,Public allows access from anywhere,Access modifiers,,
38,What is composition in OOP?,Has-a relationship,Is-a relationship,Was-a relationship,Will-be relationship,A,Composition represents has-a relationship between objects,OOP Concepts,,
39,What is aggregation?,Weak association,Strong association,No association,Multiple association,A,Aggregation is a weak form of association,OOP Concepts,,
40,Which interface is the root of Collection hierarchy?,List,Set,Collection,Map,C,Collection interface is the root of collection hierarchy,Collections,,
41,What is wildcard in generics?,? symbol,* symbol,& symbol,| symbol,A,Question mark (?) represents wildcard in generics,Generics,,
42,What is Stream API?,Data processing,Data storage,Data deletion,Data copying,A,Stream API is used for processing collections of data,Lambda Expression,,
43,What is the Builder design pattern?,Step by step object construction,Quick object construction,Object destruction,Object copying,A,Builder pattern constructs objects step by step,Design patterns,,
44,What is try-with-resources?,Automatic resource management,Manual resource management,No resource management,Resource duplication,A,Try-with-resources automatically manages resources,Exception Handling,,
45,What does private access modifier restrict?,Access to same class only,Access to package,Access to subclasses,No restriction,A,Private restricts access to the same class only,Access modifiers,,
46,What is final keyword used for?,Constants and preventing inheritance,Variables only,Methods only,Classes only,A,Final creates constants and prevents inheritance/overriding,Java basics,,
47,What is static keyword?,Class level members,Instance level members,Local members,Global members,A,Static keyword creates class-level members,Java basics,,
48,Which loop is entry-controlled?,for,while,Both for and while,do-while,C,For and while loops check condition before entering,Java basics,,
49,What is the size of int in Java?,16 bits,32 bits,64 bits,8 bits,B,Int data type is 32 bits in Java,Java basics,,
50,What is JVM?,Java Virtual Machine,Java Variable Machine,Java Version Machine,Java Vendor Machine,A,JVM stands for Java Virtual Machine,Java basics,,
51,What is the difference between == and equals()?,Reference vs content comparison,No difference,Content vs reference comparison,Both compare content,A,"== compares references, equals() compares content",Java basics,,
52,What is String pool?,Memory area for string literals,Memory area for objects,Memory area for primitives,Memory area for arrays,A,String pool stores string literals for memory optimization,Java basics,,
53,What is autoboxing?,Automatic conversion from primitive to wrapper,Manual conversion,No conversion,Type casting,A,Autoboxing automatically converts primitives to wrapper objects,Java basics,,
54,What is unboxing?,Automatic conversion from wrapper to primitive,Manual conversion,No conversion,Type casting,A,Unboxing automatically converts wrapper objects to primitives,Java basics,,
55,Which wrapper class is for int?,Int,INTEGER,Integer,int_wrapper,C,Integer is the wrapper class for int primitive,Java basics,,
56,What happens during autoboxing of int 5?,Creates Integer object,Creates int array,Creates String,Compilation error,A,Autoboxing creates Integer.valueOf(5),Java basics,,
57,Which method is called during unboxing?,valueOf(),intValue(),toString(),equals(),B,Unboxing calls the appropriate value method like intValue(),Java basics,,
58,What is the result of: Integer a = 100; int b = a;,Compilation error,Runtime error,b gets value 100,ClassCastException,C,Unboxing automatically converts Integer to int,Java basics,,
59,Can null be unboxed?,Yes,No,Sometimes,Depends on type,B,Unboxing null wrapper object throws NullPointerException,Java basics,,
60,What is cached for Integer autoboxing?,Values -128 to 127,Values 0 to 100,Values 1 to 1000,No caching,A,Integer objects are cached for values -128 to 127,Java basics,,
61,What is JUnit?,Testing framework,Development framework,Database framework,Web framework,A,JUnit is a testing framework for Java applications,JUnit,,
62,Which annotation is used to mark a test method in JUnit 5?,@Test,@TestMethod,@UnitTest,@Testing,A,@Test annotation marks methods as test methods in JUnit 5,JUnit,,
63,What is an assertion in JUnit?,Statement that checks expected vs actual result,Declaration of test,Setup method,Cleanup method,A,Assertion verifies that expected and actual results match,JUnit,,
64,Which method is used for basic equality assertion?,assertEquals(),checkEquals(),verifyEquals(),testEquals(),A,assertEquals() is the basic method for equality assertions,JUnit,,
65,What happens when an assertion fails?,Test continues,Test stops and fails,Test is skipped,Test passes,B,Failed assertion stops the test and marks it as failed,JUnit,,
66,Which annotation runs before each test method?,@BeforeEach,@BeforeAll,@Setup,@Init,A,@BeforeEach runs before each individual test method,JUnit,,
67,Which annotation runs before all test methods?,@BeforeEach,@BeforeAll,@Setup,@Init,B,@BeforeAll runs once before all test methods in the class,JUnit,,
68,What is a test fixture?,Test data and environment setup,Test result,Test method,Test class,A,Test fixture provides consistent test environment and data,JUnit,,
69,Which annotation is used to ignore a test in JUnit 5?,@Ignore,@Skip,@Disabled,@Exclude,C,@Disabled annotation is used to disable tests in JUnit 5,JUnit,,
70,What was the annotation to ignore tests in JUnit 4?,@Disabled,@Skip,@Ignore,@Exclude,C,@Ignore was used to ignore tests in JUnit 4,JUnit,,
71,Which assertion checks if a condition is true?,assertTrue(),checkTrue(),verifyTrue(),isTrue(),A,assertTrue() verifies that a condition evaluates to true,JUnit,,
72,Which assertion checks if a condition is false?,assertFalse(),checkFalse(),verifyFalse(),isFalse(),A,assertFalse() verifies that a condition evaluates to false,JUnit,,
73,What does assertNull() check?,Object is null,Object is not null,Object exists,Object is empty,A,assertNull() verifies that an object reference is null,JUnit,,
74,What does assertNotNull() check?,Object is null,Object is not null,Object exists,Object is empty,B,assertNotNull() verifies that an object reference is not null,JUnit,,
75,Which assertion checks if two objects refer to the same instance?,assertSame(),assertEquals(),assertIdentical(),assertReference(),A,assertSame() checks if two references point to the same object,JUnit,,
76,What is the difference between assertEquals() and assertSame()?,Content vs reference comparison,No difference,Reference vs content comparison,Both are same,A,"assertEquals() compares content, assertSame() compares object references",JUnit,,
77,How do you run JUnit tests?,"IDE, Maven, Gradle, command line",Only IDE,Only command line,Only Maven,A,"JUnit tests can be run through IDE, build tools, or command line",JUnit,,
78,What is @DisplayName used for?,Custom test name display,Test execution order,Test grouping,Test timeout,A,@DisplayName provides custom names for test display,JUnit,,
79,Which lifecycle method runs after each test?,@AfterEach,@AfterAll,@Cleanup,@Destroy,A,@AfterEach runs after each individual test method,JUnit,,
80,Which lifecycle method runs after all tests?,@AfterEach,@AfterAll,@Cleanup,@Destroy,B,@AfterAll runs once after all test methods complete,JUnit,,
81,What is @Timeout used for?,Limiting test execution time,Setting test delay,Scheduling tests,Test repetition,A,@Timeout sets maximum execution time for tests,JUnit,,
82,What does @RepeatedTest do?,Runs test multiple times,Runs test once,Skips test,Groups tests,A,@RepeatedTest executes the same test multiple times,JUnit,,
83,How do you group related tests?,@Nested,@Group,@Category,@Suite,A,@Nested allows grouping related tests in inner classes,JUnit,,
84,What is parameterized testing?,Running same test with different data,Running different tests,Running tests in parallel,Running tests sequentially,A,Parameterized tests run the same test logic with different input data,JUnit,,
85,Which annotation is used for parameterized tests?,@ParameterizedTest,@DataTest,@ValueTest,@InputTest,A,@ParameterizedTest marks methods for parameterized testing,JUnit,,
86,What does @ValueSource provide?,Simple parameter values,Complex objects,Test configuration,Test order,A,@ValueSource provides simple parameter values for parameterized tests,JUnit,,
87,What is the purpose of assumptions in JUnit?,Conditional test execution,Test assertions,Test setup,Test cleanup,A,Assumptions allow conditional test execution based on environment,JUnit,,
88,Which method creates an assumption?,assumeTrue(),assume(),condition(),require(),A,assumeTrue() creates assumptions for conditional test execution,JUnit,,
89,What happens when an assumption fails?,Test is skipped,Test fails,Test passes,Test continues,A,Failed assumptions cause the test to be skipped (not failed),JUnit,,
90,How do you check for expected exceptions?,assertThrows(),expectException(),checkException(),verifyThrows(),A,assertThrows() verifies that specific exceptions are thrown,JUnit,,
91,What is test-driven development (TDD)?,Write tests before code,Write code before tests,Write tests and code together,Don't write tests,A,TDD involves writing tests before implementing the actual code,JUnit,,
92,What is a mock object in testing?,Fake object for testing,Real object,Test data,Test method,A,Mock objects are fake implementations used for isolated testing,JUnit,,
93,Which framework is commonly used with JUnit for mocking?,Mockito,TestNG,Selenium,Spring,A,Mockito is the most popular mocking framework used with JUnit,JUnit,,
94,What is code coverage?,Percentage of code tested,Number of tests,Test execution time,Test complexity,A,Code coverage measures what percentage of code is executed by tests,JUnit,,
95,What is a test suite?,Collection of test classes,Single test method,Test configuration,Test result,A,Test suite is a collection of test classes or methods run together,JUnit,,
96,How do you handle test dependencies in JUnit?,"Avoid them, use @BeforeEach",Use @DependsOn,Use @Order,Tests should be dependent,A,Tests should be independent; use setup methods for test preparation,JUnit,,
97,What is the benefit of unit testing?,"Early bug detection, confidence in code",Slower development,More complex code,Larger file sizes,A,Unit testing helps detect bugs early and provides confidence in code changes,JUnit,,
98,What should you test in a unit test?,Single unit of functionality,Entire application,Database connections,User interface,A,Unit tests should focus on testing a single unit of functionality in isolation,JUnit,,
99,What makes a good unit test?,"Fast, independent, repeatable",Slow and dependent,Complex and long,Database dependent,A,"Good unit tests are fast, independent, repeatable, and focused",JUnit,,
100,When should you run unit tests?,Frequently during development,Only before release,Once a month,Never,A,Unit tests should be run frequently during development to catch issues early,JUnit,,
101,"What does assertEquals(Object, Object) compare by default?",Uses equals() method,Uses == operator,Uses compareTo(),Uses toString(),A,"assertEquals(Object, Object) uses the equals() method for comparison",JUnit,,
102,"What happens if objects don't override equals() in assertEquals(Object, Object)?",Uses Object.equals() which compares references,Compilation error,Runtime exception,Always returns true,A,"Without overridden equals(), it uses Object.equals() which compares object references",JUnit,,
103,"Why might assertEquals(Object, Object) fail for identical content?",Objects don't override equals() properly,Wrong assertion method,JUnit bug,Compiler issue,A,Fails when objects have same content but equals() method compares references instead of content,JUnit,,
104,"What should custom classes override for proper assertEquals(Object, Object) usage?",equals() and hashCode(),toString() only,compareTo() only,clone() method,A,Custom classes should override both equals() and hashCode() for proper equality comparison,JUnit,,
105,"When comparing String objects, what does assertEquals(Object, Object) use?",String.equals() method,Reference comparison,Length comparison,Character array comparison,A,"String class overrides equals() to compare content, so assertEquals works correctly",JUnit,,
106,"What is the difference between assertEquals(primitive, primitive) and assertEquals(Object, Object)?","Primitive version compares values, Object version uses equals()",No difference,Object version is faster,Primitive version uses equals(),A,"Primitive version directly compares values, Object version relies on equals() method",JUnit,,
107,"How should you test custom objects with assertEquals(Object, Object)?",Ensure proper equals() implementation,Use assertSame() instead,Convert to strings first,Use toString() comparison,A,Custom objects need proper equals() implementation for meaningful assertEquals comparison,JUnit,,
108,"What debugging approach helps when assertEquals(Object, Object) fails unexpectedly?",Check equals() implementation and object state,Restart IDE,Change to assertSame(),Use different assertion,A,"When assertEquals fails unexpectedly, verify the equals() method implementation and object contents",JUnit,,
109,How do you remove JUnit JAR from classpath in an IDE?,Project settings → Libraries → Remove JUnit JAR,Delete from file system only,Rename the JAR file,Move to different folder,A,"In IDE, go to project settings/properties, find libraries section, and remove JUnit JAR from classpath",JUnit,,
110,What is the first step to uninstall JUnit from a Maven project?,Remove JUnit dependency from pom.xml,Delete target folder,Remove test folder,Restart IDE,A,"For Maven projects, remove the JUnit dependency declaration from pom.xml file",JUnit,,
111,How do you remove JUnit from a Gradle project?,Remove JUnit from build.gradle dependencies,Delete build folder,Remove test source set,Clear Gradle cache,A,"In Gradle projects, remove JUnit from the dependencies block in build.gradle file",JUnit,,
112,"After removing JUnit dependency, what should you do next?",Clean and rebuild project,Restart computer,Delete all test files,Reinstall IDE,A,"After removing dependency, clean and rebuild the project to update classpath",JUnit,,
113,What happens to test files when you remove JUnit?,They remain but won't compile/run,They are automatically deleted,They convert to regular classes,Nothing changes,A,Test files remain in the project but will have compilation errors and cannot be executed,JUnit,,
114,How do you completely remove JUnit from a manual classpath setup?,Remove JAR and update CLASSPATH variable,Delete only the JAR file,Rename the JAR file,Move JAR to system folder,A,Remove the JUnit JAR file and update the CLASSPATH environment variable to exclude it,JUnit,,
115,What is the command to remove JUnit via command line in Maven?,mvn dependency:purge-local-repository,mvn clean,mvn test,mvn install,A,Use Maven dependency plugin to purge JUnit from local repository if needed,JUnit,,
116,What should you check after removing JUnit from IDE?,Project libraries and module dependencies,Only file system,Only test folder,Only main source folder,A,"Verify that JUnit is removed from project libraries, module dependencies, and classpath settings",JUnit,,
117,How many tests ran? (Syntax for checking test count),Tests run: X,Total tests: X,Executed: X,Count: X,A,JUnit typically reports 'Tests run: X' where X is the number of executed tests,JUnit,,
118,"What does 'Tests run: 5, Failures: 1, Errors: 0, Skipped: 0' mean?","5 tests executed, 1 failed assertion, 0 errors, 0 skipped",Total 5 tests in project,5 test classes,5 test methods per class,A,"This shows 5 tests were executed, 1 had a failed assertion, no errors occurred, and none were skipped",JUnit,,
119,"In Maven output, where do you find the test count?",In the test execution summary,In pom.xml,In target folder,In src folder,A,"Maven displays test execution summary showing count of run, failed, error, and skipped tests",JUnit,,
120,What does 'Skipped: 2' indicate in test results?,2 tests were not executed,2 tests failed,2 tests had errors,2 tests passed,A,"Skipped tests are those that were not executed, often due to @Disabled annotation or failed assumptions",JUnit,,
121,How do you get detailed test count in IDE?,View test results panel/window,Check console output only,Look at file explorer,Count test methods manually,A,"IDEs provide test results panel showing detailed breakdown of passed, failed, skipped, and total test counts",JUnit,,
122,What information does JUnit provide about test execution?,"Run count, failures, errors, skipped, time taken",Only pass/fail status,Only total count,Only execution time,A,JUnit provides comprehensive statistics including counts of different test outcomes and execution time,JUnit,,
123,"In command line, how do you see test statistics?",Check the output summary after test execution,Use separate command,Look in log files,Count manually,A,Command line test execution displays summary with test counts at the end of the run,JUnit,,
124,What does 'Errors: 1' mean in test results?,1 test had an unexpected exception,1 test failed assertion,1 test was skipped,1 test passed,A,"Errors indicate unexpected exceptions during test execution, different from assertion failures",JUnit,,
125,What happens when you try to access a private field directly from outside the class?,Compilation error,Runtime error,Returns null,Returns default value,A,"Private fields cannot be accessed directly from outside the class, causing a compilation error",Coding Question,,
126,Which is better encapsulation: public fields or private fields with getters/setters?,Public fields,Private fields with getters/setters,Both are same,Neither is good,B,Private fields with controlled access through getters/setters provide better encapsulation and data protection,Coding Question,,
127,"What will obj.getCount() return if count starts at 0 and increment() adds 1, called twice?",0,1,2,Compilation error,C,"Starting at 0, calling increment() twice results in count = 2",Coding Question,,
128,"If a class has private int balance = 100, how should external classes access it?",Direct access: obj.balance,Through getter method: obj.getBalance(),Through public field,Cannot be accessed,B,Private fields should be accessed through public getter methods following encapsulation principles,Coding Question,,
129,What is the correct way to validate input in a setter method?,Check if value is valid before setting,Set value first then validate,No validation needed,Validation in getter only,A,Setter methods should validate input parameters before updating the field value,Coding Question,,
130,Which of the following is NOT supported by Java classes?,Multiple inheritance from classes,Single inheritance,Method overriding,Method overloading,A,"Java classes support only single inheritance from classes, not multiple inheritance, though interfaces can extend multiple interfaces",OOP Concepts,,
131,What is the main purpose of the Abstract Factory pattern?,Creating families of related objects,Creating a single object,Destroying objects,Copying objects,A,Abstract Factory pattern provides an interface for creating families of related or dependent objects without specifying their concrete classes,Design patterns,,
132,Which of the following design patterns are classified as Behavioral patterns?,"Observer, Strategy, Command","Adapter, Decorator, Facade","Singleton, Factory, Builder","Proxy, Bridge, Composite",A,"Behavioral patterns focus on communication between objects and the assignment of responsibilities. Observer, Strategy, and Command are all behavioral patterns that define how objects interact.",Design patterns,,
133,Which of the following design patterns are classified as Structural patterns?,"Template Method, Visitor, Iterator","Adapter, Decorator, Proxy","Abstract Factory, Prototype, Builder","Chain of Responsibility, Mediator, State",B,"Structural patterns deal with object composition and relationships between entities. Adapter, Decorator, and Proxy are structural patterns that focus on how classes and objects are composed.",Design patterns,,
134,Which of the following design patterns are classified as Creational patterns?,"Memento, Observer, Command","Bridge, Flyweight, Composite","Singleton, Factory Method, Abstract Factory","Strategy, State, Template Method",C,"Creational patterns deal with object creation mechanisms. Singleton, Factory Method, and Abstract Factory are all creational patterns that provide various ways to create objects while hiding the creation logic.",Design patterns,,
135,"In the Builder pattern, what is the main advantage of using a separate Director class?",It encapsulates the construction logic and sequence,It makes the code run faster,It reduces memory usage,It prevents inheritance,A,"The Director class in Builder pattern encapsulates the construction logic, defining the sequence of steps to build the product, making the construction process reusable and maintainable.",Design patterns,,
136,Which scenario is most appropriate for using the Builder pattern?,Creating simple objects with few properties,Creating complex objects with many optional parameters,Creating objects that need to be copied,Creating objects from existing templates,B,"Builder pattern is ideal for creating complex objects with many optional parameters, avoiding telescoping constructor anti-pattern and providing a fluent interface for object construction.",Design patterns,,
137,What is the main purpose of the Prototype design pattern?,To create objects step by step,To create objects by cloning existing instances,To create families of related objects,To create single instances only,B,"Prototype pattern creates objects by cloning existing instances (prototypes) rather than creating new instances from scratch, which is useful when object creation is expensive.",Design patterns,,
138,"In Java, which method is typically used to implement the Prototype pattern?",toString(),clone(),equals(),hashCode(),B,"The clone() method from the Cloneable interface is typically used to implement the Prototype pattern in Java, allowing objects to create copies of themselves.",Design patterns,,
139,What is the main purpose of the Flyweight design pattern?,To reduce memory usage by sharing common data between objects,To create objects step by step,To provide a unified interface to a set of interfaces,To define a family of algorithms,A,"Flyweight pattern reduces memory usage by sharing intrinsic state (common data) among multiple objects, while keeping extrinsic state (unique data) separate. This is especially useful when dealing with large numbers of similar objects.",Design patterns,,
140,"In the Flyweight pattern, what is the difference between intrinsic and extrinsic state?","Intrinsic state is mutable, extrinsic state is immutable","Intrinsic state is shared among flyweights, extrinsic state is unique to each context","Intrinsic state is stored externally, extrinsic state is stored internally",There is no difference between them,B,"In Flyweight pattern, intrinsic state is the shared, immutable data stored within the flyweight object, while extrinsic state is the unique, context-dependent data passed to the flyweight methods from the client.",Design patterns,,
141,What is the main purpose of the Mediator design pattern?,To define loose coupling between interacting objects,To create objects by cloning existing instances,To provide a way to access elements of a collection,To encapsulate algorithms and make them interchangeable,A,"Mediator pattern defines how a set of objects interact with each other by promoting loose coupling. Instead of objects communicating directly, they communicate through a central mediator object, reducing dependencies between communicating objects.",Design patterns,,
142,What is the primary benefit of the Memento design pattern?,It allows objects to communicate without knowing each other,It captures and restores an object's internal state without violating encapsulation,It provides a way to create families of related objects,It defines a one-to-many dependency between objects,B,"Memento pattern captures and externalizes an object's internal state so that the object can be restored to this state later, all without violating encapsulation. This is commonly used for undo operations and checkpointing.",Design patterns,,
143,Which scenario is most appropriate for using the Singleton pattern?,When you need multiple instances with different configurations,When you need exactly one instance of a class throughout the application,When you need to create families of related objects,When you need to copy existing objects,B,"Singleton pattern is most appropriate when you need exactly one instance of a class throughout the application lifecycle, such as database connections, logging services, or configuration managers.",Design patterns,,
144,Which scenario is most appropriate for using the Factory Method pattern?,When you need to restore object states,When a class cannot anticipate the class of objects it must create,When you need to reduce memory usage by sharing objects,When you need to provide a simplified interface,B,"Factory Method pattern is most appropriate when a class cannot anticipate the class of objects it must create, or when you want to delegate object creation to subclasses while maintaining loose coupling.",Design patterns,,
145,Which scenario is most appropriate for using the Prototype pattern?,When object creation is expensive and you have a similar object available,When you need to define loose coupling between objects,When you need step-by-step object construction,When you need a single global access point,A,"Prototype pattern is most appropriate when creating an object is expensive (complex initialization, database calls, network operations) and you have a similar object available that can be cloned and modified.",Design patterns,,
146,Which scenario is most appropriate for using the Abstract Factory pattern?,When you need to create a single complex object,When you need to create families of related or dependent objects,When you need to add new functionality to existing objects,When you need to define algorithms as separate objects,B,"Abstract Factory pattern is most appropriate when you need to create families of related or dependent objects without specifying their concrete classes, such as creating UI components for different operating systems.",Design patterns,,
147,Which scenario is most appropriate for using the Adapter pattern?,When you need to capture and restore object states,When you want to use an existing class with an incompatible interface,When you need to create objects by cloning,When you need to define one-to-many dependencies,B,"Adapter pattern is most appropriate when you want to use an existing class with an incompatible interface, allowing classes to work together that couldn't otherwise because of incompatible interfaces.",Design patterns,,
148,Which scenario is most appropriate for using the Decorator pattern?,When you need to add responsibilities to objects dynamically without altering their structure,When you need to ensure only one instance exists,When you need to provide a way to access elements sequentially,When you need to encapsulate a group of individual factories,A,"Decorator pattern is most appropriate when you need to add responsibilities to objects dynamically without altering their structure, such as adding features to a text editor or applying filters to images.",Design patterns,,
149,Which scenario is most appropriate for using the Proxy pattern?,When you need to provide a placeholder or surrogate to control access to another object,When you need to compose objects into tree structures,When you need to separate abstraction from implementation,When you need to convert interfaces between classes,A,"Proxy pattern is most appropriate when you need to provide a placeholder or surrogate to control access to another object, such as lazy loading, access control, caching, or logging.",Design patterns,,
150,Which scenario is most appropriate for using the Flyweight pattern?,When you need to support large numbers of fine-grained objects efficiently,When you need to define a family of algorithms,When you need to provide undo functionality,When you need to traverse a collection sequentially,A,"Flyweight pattern is most appropriate when you need to support large numbers of fine-grained objects efficiently by sharing intrinsic state, such as characters in a text editor or particles in a game.",Design patterns,,
151,Which scenario is most appropriate for using the Observer pattern?,When you need to notify multiple objects about state changes in another object,When you need to provide a simplified interface to a complex subsystem,When you need to create objects step by step,When you need to avoid tight coupling between sender and receiver,A,"Observer pattern is most appropriate when you need to notify multiple objects about state changes in another object, such as updating multiple views when model data changes in MVC architecture.",Design patterns,,
152,Which scenario is most appropriate for using the Strategy pattern?,When you need to define a family of algorithms and make them interchangeable,When you need to restore previous states of an object,When you need to provide a way to access elements of a collection,When you need to create families of related objects,A,"Strategy pattern is most appropriate when you need to define a family of algorithms, encapsulate each one, and make them interchangeable, such as different sorting algorithms or payment processing methods.",Design patterns,,
153,Which scenario is most appropriate for using the Command pattern?,When you need to parameterize objects with operations and support undo functionality,When you need to ensure thread safety for object creation,When you need to provide a unified interface to different subsystems,When you need to share common data between multiple objects,A,"Command pattern is most appropriate when you need to parameterize objects with operations, queue operations, log requests, and support undo functionality, such as implementing menu actions or macro recording.",Design patterns,,
154,Which scenario is most appropriate for using the Mediator pattern?,When you need to reduce coupling between interacting objects by centralizing communication,When you need to add behavior to objects without changing their structure,When you need to create objects efficiently by sharing state,When you need to provide controlled access to another object,A,"Mediator pattern is most appropriate when you need to reduce coupling between interacting objects by centralizing their communication through a mediator, such as coordinating interactions in a dialog box or chat room.",Design patterns,,
155,Which scenario is most appropriate for using the Memento pattern?,When you need to capture and restore an object's state for undo operations,When you need to provide a simplified interface to a complex system,When you need to notify multiple objects about changes,When you need to define algorithms as interchangeable objects,A,"Memento pattern is most appropriate when you need to capture and restore an object's state for undo operations without violating encapsulation, such as implementing undo/redo functionality in text editors or games.",Design patterns,,
156,Which scenario is most appropriate for using the Bridge pattern?,When you want to separate an abstraction from its implementation so both can vary independently,When you need to compose objects into tree structures,When you need to provide a unified interface to a set of interfaces,When you need to add responsibilities to objects dynamically,A,"Bridge pattern is most appropriate when you want to separate an abstraction from its implementation so that both can vary independently, such as supporting multiple database drivers or UI frameworks.",Design patterns,,
157,Which scenario is most appropriate for using the Composite pattern?,When you need to provide controlled access to another object,When you want to compose objects into tree structures to represent part-whole hierarchies,When you need to capture and restore object states,When you need to define loose coupling between objects,B,"Composite pattern is most appropriate when you want to compose objects into tree structures to represent part-whole hierarchies, such as file systems, UI component hierarchies, or organizational structures.",Design patterns,,
158,Which scenario is most appropriate for using the Facade pattern?,When you need to provide a simplified interface to a complex subsystem,When you need to create families of related objects,When you need to support large numbers of objects efficiently,When you need to separate abstraction from implementation,A,"Facade pattern is most appropriate when you need to provide a simplified interface to a complex subsystem, such as wrapping complex APIs, database operations, or third-party libraries with easier-to-use methods.",Design patterns,,
159,Which scenario is most appropriate for using the Chain of Responsibility pattern?,When you want to pass requests along a chain of handlers until one handles it,When you need to define algorithms as interchangeable objects,When you need to provide a way to access elements sequentially,When you need to compose objects into tree structures,A,"Chain of Responsibility pattern is most appropriate when you want to pass requests along a chain of handlers until one handles it, such as event handling systems, approval workflows, or logging frameworks with different log levels.",Design patterns,,
