11,How many primitive data types are there in Java?,6,7,8,9,C,"Java has 8 primitive data types: byte, short, int, long, float, double, char, and boolean.",Java Fundamentals,text,
12,Which of the following is a primitive data type in Java?,Incorrect,String,int,Array,C,"int is a primitive data type in Java. String, Integer, and Array are reference types.",Java Fundamentals,text,
13,What is the size of an int in Java?,16 bits,32 bits,64 bits,Platform dependent,B,An int in Java is always 32 bits (4 bytes) regardless of the platform.,Java Fundamentals,text,
14,What is the size of a long in Java?,32 bits,64 bits,128 bits,Platform dependent,B,A long in Java is always 64 bits (8 bytes).,Java Fundamentals,text,
15,Which primitive data type is used to store a single character?,char,Incorrect,character,text,A,char is the primitive data type used to store a single Unicode character in Java.,Java Fundamentals,text,
16,What is the default value of a boolean variable in Java?,FALSE,TRUE,null,undefined,A,The default value of a boolean variable in Java is false.,Java Fundamentals,text,
17,What is the default value of an int variable in Java?,0,1,-1,null,A,The default value of an int variable in Java is 0.,Java Fundamentals,text,
18,Which of the following is a reference data type?,Incorrect,int,String,boolean,C,"String is a reference data type in Java, while int, char, and boolean are primitive types.",Java Fundamentals,text,
19,What is the difference between primitive and reference data types?,No difference,Primitive types store actual values,References are faster,Primitives use more memory,B,"Primitive types store actual values, while reference types store memory addresses pointing to objects.",Java Fundamentals,text,
20,Which primitive type has the largest range?,Incorrect,int,float,double,D,"While a 64-bit integer type like long can store a very large range of whole numbers, a 64-bit floating-point type like double uses some of its bits for an exponent, allowing it to represent an astronomically larger range of numbers, including both very small and very large decimal values.",Java Fundamentals,text,
21,What happens when you don't initialize a local variable in Java?,Incorrect,It gets default value,Compilation error,Runtime error,C,"Local variables must be explicitly initialized before use, otherwise it results in a compilation error.",Java Fundamentals,text,
22,Which keyword is used to declare a variable whose value cannot be changed?,Incorrect,static,final,immutable,C,The final keyword is used to declare constants in Java - variables whose values cannot be changed.,Java Fundamentals,text,
23,What is the correct way to declare a constant in Java?,const int MAX = 100;,final int MAX = 100;,constant int MAX = 100;,static int MAX = 100;,B,"Constants are declared using the final keyword, often combined with static for class-level constants.",Java Fundamentals,text,
24,Which naming convention is correct for Java class names?,camelCase,PascalCase,snake_case,kebab-case,B,"Java class names should follow PascalCase convention where the first letter of each word is capitalized (e.g., MyClass, StudentRecord).",Java Fundamentals,text,
25,What is the correct naming convention for Java method names?,Incorrect,PascalCase,snake_case,UPPER_CASE,B,"Java method names should follow camelCase convention where the first letter is lowercase and subsequent words start with uppercase (e.g., getName, calculateTotal).",Java Fundamentals,text,
26,Which naming convention should be used for Java constants?,PascalCase,camelCase,snake_case,UPPER_CASE,D,"Java constants should be declared in UPPER_CASE with underscores separating words (e.g., MAX_SIZE, DEFAULT_VALUE).",Java Fundamentals,text,
27,What is a constructor in Java?,A method that destroys objects,A method called when an object is created,A method that copies objects,A method that compares objects,B,A constructor is a special method that is called when an object is instantiated. It has the same name as the class and no return type.,OOP Concepts,text,
28,Can a constructor have a return type?,Incorrect,"Yes, always void","No, never",Only primitive types,C,"Constructors cannot have a return type, not even void. They are special methods used only for object initialization.",OOP Concepts,text,
29,What does the 'this' keyword refer to?,Incorrect,The parent class,The next object,A static method,B,The 'this' keyword refers to the current instance of the class. It's used to access instance variables and methods of the current object.,Java Fundamentals,text,
30,What does the 'super' keyword refer to?,Incorrect,The current class,The parent class,A static class,C,"The 'super' keyword refers to the immediate parent class. It's used to access parent class methods, constructors, and variables.",Java Fundamentals,text,
31,What is constructor overloading?,Incorrect,Multiple constructors with same parameters,One constructor per class,Constructors with return types,B,"Constructor overloading allows a class to have multiple constructors with different parameter lists, enabling different ways to initialize objects.",OOP Concepts,text,
32,What happens if you don't define any constructor in a class?,Incorrect,Compilation error,Java provides a default no-argument constructor,Class cannot be instantiated,C,"If no constructor is explicitly defined, Java automatically provides a default no-argument constructor that calls the superclass constructor.",OOP Concepts,text,
33,What is constructor chaining?,Incorrect,Calling multiple constructors,Linking constructors together,Inheriting constructors,C,Constructor chaining occurs when one constructor calls another constructor of the same class using this() or calls the parent class constructor using super().,OOP Concepts,text,
34,Which keyword is used to call another constructor in the same class?,super(),this(),call(),invoke(),B,The this() keyword is used to call another constructor in the same class. It must be the first statement in the constructor.,OOP Concepts,text,
35,Which keyword is used to call the parent class constructor?,parent(),super(),this(),base(),B,"The super() keyword is used to call the parent class constructor. If not explicitly called, Java automatically calls the no-argument constructor of the parent class.",OOP Concepts,text,
36,Can a constructor call both this() and super()?,Incorrect,"Yes, in any order","Yes, but super() must come first","No, only one can be called",D,"A constructor cannot call both this() and super() because both must be the first statement in the constructor, and you can only have one first statement.",OOP Concepts,text,
37,Where must a call to this() or super() appear in a constructor?,Incorrect,Anywhere in the constructor,As the last statement only,In the middle of the constructor,B,Calls to this() or super() must be the very first statement in a constructor. This is a strict rule enforced by the Java compiler - no other code can appear before these calls.,OOP Concepts,text,
38,Which operator is used for integer division in Java?,/,/,//,div,A,"The / operator performs division. For integers, it returns the quotient without the remainder (integer division).",Java Fundamentals,text,
39,What does the % operator do in Java?,Incorrect,Division,Modulus (remainder),Percentage,C,"The % operator returns the remainder after division. For example, 10 % 3 returns 1.",Java Fundamentals,text,
40,Which operator has the highest precedence?,"The Additive ""+, -"" from left-to-right","The ""&&"" Logical AND from left-to-right","The ""++/--"" Post-increment/decrement from left-to-right","The Multiplicative ""*, /, %"" from left-to-right",C,The increment (++) and decrement (--) operators have higher precedence than arithmetic operators like + and *.,Java Fundamentals,text,
41,What is the difference between ++i and i++?,Incorrect,"""++i"" (pre-increment) increments the value before using it, while ""i++"" (post-increment) uses the current value then increments.",No difference,Incorrect,B,"++i (pre-increment) increments the value before using it, while i++ (post-increment) uses the current value then increments.",Java Fundamentals,text,
42,Which operator is used for logical AND in Java?,Incorrect,&,|,||,B,"The && operator is used for logical AND. It short-circuits, meaning if the first operand is false, the second is not evaluated.",Java Fundamentals,text,
43,What does the == operator compare for objects?,Incorrect,Object content,Object type,Object methods,B,"For objects, == compares references (memory addresses), not the actual content. Use .equals() to compare content.",Java Fundamentals,text,
44,Which operator is used for bitwise XOR?,^,Incorrect,|,~,A,"The ^ operator performs bitwise XOR (exclusive OR). It returns 1 when bits are different, 0 when they are the same.",Java Fundamentals,text,
45,What is the ternary operator in Java?,?:,Incorrect,?!,?=,A,The ternary operator ?: is a shorthand for if-else. Syntax: condition ? value_if_true : value_if_false.,Java Fundamentals,text,
46,Which assignment operator is used for adding and assigning?,Incorrect,"""+=""",++,=++,B,"The += operator adds the right operand to the left operand and assigns the result to the left operand (e.g., x += 5 is equivalent to x = x + 5).",Java Fundamentals,text,
47,What does the instanceof operator do?,Checks object type,Incorrect,Compares instances,Deletes instance,A,The instanceof operator checks whether an object is an instance of a specific class or implements a specific interface.,Java Fundamentals,text,
48,What is the difference between & and && operators?,No difference,"& is bitwise, && is logical","& is logical, && is bitwise",Both are the same logical operator,B,"& performs bitwise AND on all bits, while && is logical AND with short-circuit evaluation (stops if first operand is false).",Java Fundamentals,text,
49,What does the ~ operator do in Java?,Incorrect,Logical NOT,Assignment,Comparison,B,"The ~ operator performs bitwise NOT (complement), flipping all bits in the operand (0 becomes 1, 1 becomes 0).",Java Fundamentals,text,
50,Which operator has higher precedence: * or +?,Incorrect,* has higher precedence,Both have same precedence,Depends on context,B,"Multiplication (*) has higher precedence than addition (+), so 2 + 3 * 4 equals 14, not 20.",Java Fundamentals,text,
51,What is the result of 5 >> 2 in Java?,1,2,10,20,A,"The >> operator performs right shift. 5 in binary is 101, shifting right by 2 positions gives 1 (decimal 1).",Java Fundamentals 2,text,
52,What does the <<= operator do?,Left shift and assign,Left shift and assign,Bitwise OR and assign,Bitwise AND and assign,A,"The <<= operator performs left shift operation and assigns the result back to the left operand (e.g., x <<= 2 is equivalent to x = x << 2).",Java Fundamentals 2,text,
53,What is the difference between == and .equals()?,No difference,No difference,"== compares content, .equals() compares references",Both compare references,B,"== compares object references (memory addresses), while .equals() method compares the actual content/values of objects.",Java Fundamentals 2,text,
54,Which logical operator performs short-circuit evaluation?,&,&,&&,^,C,"The && operator performs short-circuit evaluation - if the first operand is false, it doesn't evaluate the second operand.",Java Fundamentals 2,text,
55,What is the result of true ^ false in Java?,TRUE,FALSE,Compilation error,Runtime error,A,"The ^ (XOR) operator returns true when operands are different. Since true ^ false has different boolean values, the result is true.",Java Fundamentals 2,text,
56,Which operator is used for string concatenation?,+,+,||,++,A,"The + operator is used for string concatenation in Java. When one operand is a String, the other is converted to String and concatenated.",Java Fundamentals 2,text,
57,What does the |= operator do?,Bitwise OR and assign,Incorrect,Bitwise XOR and assign,Bitwise AND and assign,A,"The |= operator performs bitwise OR operation and assigns the result back to the left operand (e.g., x |= 3 is equivalent to x = x | 3).",Java Fundamentals 2,text,
58,Which loop is guaranteed to execute at least once?,for loop,for loop,do-while loop,enhanced for loop,C,"The do-while loop executes the body first, then checks the condition, guaranteeing at least one execution.",Control Flow,text,
59,What does the break statement do in a loop?,Skips current iteration,Skips current iteration,Restarts the loop,Pauses the loop,B,The break statement immediately exits the current loop and transfers control to the statement after the loop.,Control Flow,text,
60,What does the continue statement do in a loop?,Exits the loop,Exits the loop,Restarts the loop from beginning,Pauses the loop,B,The continue statement skips the remaining statements in the current iteration and moves to the next iteration.,Control Flow,text,
61,Which keyword is used in switch statements for unmatched cases?,else,else,other,catch,B,The default keyword handles cases that don't match any of the specified case values in a switch statement.,Control Flow,text,
62,What happens if you forget break in a switch case?,Compilation error,Compilation error,Runtime error,Nothing happens,B,"Without break, execution falls through to the next case, executing subsequent case blocks until a break is encountered.",Control Flow,text,
63,Which data types can be used in switch statements?,"int, char, String, enum","int, char, String, enum",All primitive types,Only String,A,"Switch statements support int, char, byte, short, String (Java 7+), and enum types, but not float or double.",Control Flow,text,
64,What is an enhanced for loop (for-each) used for?,Mathematical calculations,Mathematical calculations,Creating loops,Breaking loops,B,Enhanced for loop (for-each) is used to iterate over arrays and collections without managing index variables.,Control Flow,text,
65,Which loop checks the condition before executing the body?,Incorrect,do-while,only for,only while,B,"Both for and while loops are entry-controlled, checking the condition before executing the loop body.",Control Flow,text,
66,Can you use break with a label in Java?,"No, labels are not supported","No, labels are not supported",Only with while loops,Only with for loops,B,Labeled break allows you to break out of outer loops in nested loop structures by specifying a label.,Control Flow,text,
67,What is the syntax for enhanced for loop?,for(type var : collection),for(type var : collection),foreach(var : collection),for(var of collection),A,Enhanced for loop syntax is: for(dataType variable : array/collection) where variable takes each element.,Control Flow,text,
68,What happens when you use continue in a nested loop?,Continues outer loop,Continues outer loop,Continues all loops,Compilation error,B,"The continue statement affects only the innermost loop where it appears, skipping to the next iteration of that loop.",Control Flow,text,
69,Can you use multiple default cases in a switch statement?,"Yes, unlimited","Yes, unlimited","No, only one default allowed",Depends on Java version,C,A switch statement can have at most one default case. Multiple default cases will cause a compilation error.,Control Flow,text,
70,What is the difference between break and return in a loop?,No difference,No difference,"break exits method, return exits loop",Both exit the loop,B,"break exits only the current loop and continues with the next statement, while return exits the entire method.",Control Flow,text,
71,In which order are case labels evaluated in a switch?,Random order,Random order,Order of appearance,Numerical order,C,"Case labels in a switch statement are evaluated in the order they appear in the code, not in numerical or alphabetical order.",Control Flow,text,
72,What happens if you use break without a loop or switch?,Runtime error,Runtime error,Program terminates,Nothing happens,B,"Using break outside of a loop, switch, or labeled statement results in a compilation error.",Control Flow,text,
73,Can you declare variables inside a switch case?,"No, not allowed","Yes, always allowed",Incorrect,Only final variables,B,"Variables can be declared in switch cases, but should be enclosed in braces to avoid scope issues and potential compilation errors.",Control Flow,text,
74,What is the maximum nesting level for loops in Java?,10 levels,11 levels,No specific limit,256 levels,C,"Java does not impose a specific limit on loop nesting levels, but practical limits depend on stack size and readability.",Control Flow,text,
75,Which statement can be used to exit multiple nested loops at once?,break,break,labeled break,return,C,Labeled break allows you to exit multiple nested loops by specifying a label placed before the outer loop.,Control Flow,text,
76,What happens if a switch expression has no matching case and no default?,Compilation error,Compilation error,No code executes,Returns null,C,"If no case matches and there's no default case, no code in the switch executes and control passes to the next statement.",Control Flow,text,
77,Can you use continue with a labeled statement?,"No, only break supports labels","No, only break supports labels",Only in while loops,Only in for loops,B,Labeled continue allows you to skip to the next iteration of an outer loop in nested loop structures.,Control Flow,text,
78,How do you declare an array of integers in Java?,int[] numbers;,int numbers[];,Both A and B are correct,int array numbers;,C,"Both 'int[] numbers;' and 'int numbers[];' are valid array declaration syntaxes in Java, though the first is preferred.",Java Fundamentals 2,text,
79,What is the default value for elements in an integer array?,null,null,undefined,1,B,Integer arrays are initialized with default value 0 for all elements when created.,Java Fundamentals 2,text,
80,How do you access the length of an array named 'arr'?,arr.length(),arr.length(),arr.length,arr.getLength(),C,"Array length is accessed using the 'length' field (not a method), so it's arr.length without parentheses.",Java Fundamentals 2,text,
81,What exception is thrown when accessing an invalid array index?,IndexOutOfBoundsException,IndexOutOfBoundsException,IllegalArgumentException,NullPointerException,B,ArrayIndexOutOfBoundsException is thrown when trying to access an array element with an invalid index.,Java Fundamentals 2,text,
82,Which of these correctly initializes an array with values?,"int[] arr = {1, 2, 3};","int[] arr = {1, 2, 3};",Both A and B,"int[] arr = new int[3]{1, 2, 3};",C,"Both array literal syntax {1, 2, 3} and new int[]{1, 2, 3} are valid initialization methods.",Java Fundamentals 2,text,
83,What is the index of the first element in a Java array?,1,2,-1,Depends on declaration,B,"Java arrays are zero-indexed, meaning the first element is at index 0.",Java Fundamentals 2,text,
84,Can you change the size of an array after creation?,"Yes, using resize()","Yes, using resize()","No, arrays have fixed size","Yes, using extend()",C,Arrays in Java have a fixed size that cannot be changed after creation. Use ArrayList for dynamic sizing.,Java Fundamentals 2,text,
85,How do you declare a 2D array of integers?,int[][] matrix;,int[][] matrix;,Both A and B,int[2][2] matrix;,C,Both 'int[][] matrix;' and 'int matrix[][];' are valid 2D array declaration syntaxes.,Java Fundamentals 2,text,
86,What does 'new int[5]' create?,"An array with values 1,2,3,4,5","An array with values 1,2,3,4,6",An array with 5 null values,An array with random values,B,'new int[5]' creates an integer array of size 5 with all elements initialized to 0.,Java Fundamentals 2,text,
87,Which method can be used to convert an array to a string representation?,Arrays.toString(),Arrays.toString(),toString(),printArray(),A,Arrays.toString() is a utility method that returns a string representation of the array contents.,Java Fundamentals 2,text,
88,What happens when you try to access arr[-1] in Java?,Returns the last element,Returns the last element,Returns null,Compilation error,B,Negative indices are invalid in Java arrays and will throw ArrayIndexOutOfBoundsException at runtime.,Java Fundamentals 2,text,
89,Which statement about array assignment is correct?,int[] a = b; copies all elements,int[] a = b; copies all elements,int[] a = b; creates a new array,Arrays cannot be assigned,B,"Array assignment creates a reference to the same array object, not a copy. Both variables point to the same memory location.",Java Fundamentals 2,text,
90,What is the output of: int[] arr = new int[3]; System.out.println(arr[0] + arr[1] + arr[2]);,0,1,undefined,NullPointerException,A,"New integer arrays are initialized with default value 0 for all elements, so 0 + 0 + 0 = 0.",Java Fundamentals 2,text,
91,How do you create a jagged array (array of arrays with different lengths)?,int[][] arr = new int[3][]; arr[0] = new int[2];,int[][] arr = new int[3][]; arr[0] = new int[2];,"int[][] arr = {{1,2},{3,4,5}};",Both A and C,D,"Jagged arrays can be created by declaring the first dimension and then individually creating arrays of different sizes, or using array literals.",Java Fundamentals 2,text,
92,What happens if you don't initialize an array element in an object array?,Compilation error,Compilation error,null,Random value,C,Object arrays are initialized with null references for all elements until explicitly assigned.,Java Fundamentals 2,text,
93,Which is true about Arrays.equals() vs ==?,Both compare references,"""== compares references, Arrays.equals() compares content""",Both compare content,"Arrays.equals() compares references, == compares content",B,"Arrays.equals() performs deep comparison of array contents, while == only compares if both variables reference the same array object.",Java Fundamentals 2,text,
94,"What is the difference between int[] arr = new int[5] and int[] arr = new int[]{1,2,3,4,5}?",No difference,No difference,First is invalid syntax,Second creates larger array,B,"The first creates an array with 5 zero values, the second creates an array with the specified values 1,2,3,4,5.",Java Fundamentals 2,text,
95,"In a 2D array int[][] matrix = new int[3][4], what is matrix.length?",3,4,7,12,A,"matrix.length returns the number of rows (first dimension), which is 3. matrix[0].length would return 4 (columns).",Java Fundamentals 2,text,
96,"What happens with: int[] arr1 = {1,2,3}; int[] arr2 = arr1; arr2[0] = 5; System.out.println(arr1[0]);",1,2,Compilation error,ArrayIndexOutOfBoundsException,B,"Since arr2 references the same array as arr1, modifying arr2[0] also changes arr1[0]. Output is 5.",Java Fundamentals 2,text,
97,Which method correctly copies an array?,System.arraycopy(),System.arraycopy(),clone(),All of the above,D,"All three methods can copy arrays: System.arraycopy() for partial copying, Arrays.copyOf() for full copying with potential resizing, and clone() for exact duplicate.",Java Fundamentals 2,text,
98,What is the maximum size of an array in Java?,Integer.MAX_VALUE,Integer.MAX_VALUE,Integer.MAX_VALUE - 8,No specific limit,C,"The maximum array size is typically Integer.MAX_VALUE - 2 to Integer.MAX_VALUE - 8, depending on JVM implementation, to reserve space for header information.",Java Fundamentals 2,text,
99,"In enhanced for loop 'for(int x : arr)', can you modify array elements?","Yes, x changes the array","Yes, x changes the array",Only if array is not final,Depends on array type,B,The enhanced for loop variable x is a copy of the array element. Modifying x does not change the original array element.,Java Fundamentals 2,text,
100,What happens when comparing arrays with equals(): arr1.equals(arr2)?,Compares content,Compares content,Always returns false,Compilation error,B,"Array's equals() method (inherited from Object) compares references, not content. Use Arrays.equals() for content comparison.",Java Fundamentals 2,text,
101,Which creates a 3D array correctly?,int[][][] cube = new int[2][3][4];,int[][][] cube = new int[2][3][4];,int[][][] cube = new int[2][][]; cube[0] = new int[3][4];,All of the above,D,"All three syntaxes are valid for creating 3D arrays in Java, including mixed notation and partial initialization.",Java Fundamentals 2,text,
102,"What is the output: int[] arr = {10, 20, 30}; arr = new int[]{40, 50}; System.out.println(arr.length);",3,4,5,Compilation error,B,"The array reference is reassigned to a new array with 2 elements. The original array {10,20,30} becomes eligible for garbage collection.",Java Fundamentals 2,text,
103,What is the range of byte data type in Java?,-128 to 127,-128 to 128,0 to 255,-127 to 128,A,"byte is an 8-bit signed integer with range from -128 to 127, using two's complement representation.",Java Fundamentals,text,
104,What is the range of short data type in Java?,"-32,768 to 32,767","-32,768 to 32,768","0 to 65,535","-32,767 to 32,768",A,"short is a 16-bit signed integer with range from -32,768 to 32,767.",Java Fundamentals,text,
105,What is the difference between float and double precision?,No difference,No difference,"float: 64-bit, double: 32-bit",Both are 32-bit,B,"float is 32-bit single precision (~7 decimal digits), double is 64-bit double precision (~15-17 decimal digits).",Java Fundamentals,text,
106,How do you specify a float literal in Java?,10.5,11.5,10.5d,10.5Float,B,"Float literals must have 'f' or 'F' suffix, otherwise they're treated as double by default.",Java Fundamentals,text,
107,What happens during implicit type conversion from int to long?,Compilation error,Compilation error,Automatic widening,Explicit cast required,C,Widening conversion from smaller to larger type happens automatically without data loss.,Java Fundamentals,text,
108,What happens during explicit type conversion from long to int?,Automatic conversion,Automatic conversion,Possible data loss,Always safe,C,"Narrowing conversion may cause data loss if the long value exceeds int range, requiring explicit cast.",Java Fundamentals,text,
109,What is the correct way to declare a binary literal in Java?,0b1010,0b1011,bin1010,binary(1010),A,Binary literals use '0b' or '0B' prefix followed by binary digits (Java 7+).,Java Fundamentals,text,
110,What is the correct way to declare a hexadecimal literal?,0x1A,0x1A,hex1A,#1A,A,"Hexadecimal literals use '0x' or '0X' prefix followed by hex digits (0-9, A-F).",Java Fundamentals,text,
111,What is the result of: byte b = 200;,Compilation error,Runtime error,b = 200,b = -56,A,"200 exceeds byte range (-128 to 127), causing compilation error without explicit cast.",Java Fundamentals,text,
112,What is integer overflow behavior in Java?,Throws exception,Throws exception,Wraps around,Returns maximum value,C,"Integer overflow wraps around using two's complement arithmetic (e.g., Integer.MAX_VALUE + 1 = Integer.MIN_VALUE).",Java Fundamentals 3,text,
113,What is the difference between '\\n' and 10 in char context?,No difference,No difference,Both are strings,"First is string, second is char",A,"Both represent the same value (newline), '\\n' is character literal, 10 is numeric literal for same Unicode value.",Java Fundamentals 3,text,
114,What is the Unicode range for char data type?,0 to 127,1 to 127,"0 to 65,535","0 to 1,114,111",C,"char is 16-bit unsigned integer representing Unicode characters from 0 to 65,535 (\\u0000 to \\uFFFF).",Java Fundamentals 3,text,
115,What is the scope of a local variable?,Entire class,Entire class,Block where it's declared,Entire package,C,Local variables have block scope - they're accessible only within the block {} where they're declared.,Java Fundamentals 2,text,
116,What is variable shadowing in Java?,Variable hiding,Variable hiding,Variable overloading,Variable deletion,A,"Variable shadowing occurs when a local variable has the same name as an instance variable, hiding the instance variable.",Java Fundamentals 2,text,
117,When are static variables initialized?,When object is created,When object is created,When method is called,When program starts,B,"Static variables are initialized when the class is first loaded by the JVM, before any instances are created.",Java Fundamentals 2,text,
118,What is a blank final variable?,Final variable without value,Final variable without value,Final variable declared but not initialized,Static final variable,C,"Blank final is a final variable declared without initialization, must be initialized in constructor or instance block.",Java Fundamentals 2,text,
119,Can you reassign a final variable?,"Yes, always","Yes, always",Only in constructor,Only if it's static,B,"Final variables cannot be reassigned once initialized, ensuring immutability of the reference.",Java Fundamentals 2,text,
120,What is the difference between instance and static variables?,No difference,"Static: per class, Instance: per object","Static: per object, Instance: per class",Both are per object,B,"Instance variables are unique per object instance, static variables are shared across all instances of the class.",Java Fundamentals 2,text,
121,What is the initialization order for variables?,"Local, instance, static","Local, instance, static","Instance, static, local",Random order,B,"Initialization order: Static variables first (when class loads), then instance variables (when object created), then local variables (when accessed).",Java Fundamentals 2,text,
122,What happens to uninitialized instance variables?,Compilation error,Compilation error,Become null,Runtime error,B,"Instance variables automatically get default values (0 for numbers, false for boolean, null for objects) if not explicitly initialized.",Java Fundamentals 2,text,
123,What is the correct syntax for declaring a method in Java?,methodName() { },methodName() { },public returnType methodName() { },returnType methodName() { },C,"Method declaration requires access modifier, return type, method name, and parameter list: public int methodName(parameters) { }",Java Fundamentals 2,text,
124,What is method overloading in Java?,"Same method name, different implementations","Same method name, different implementations","Same method name, different return types","Same method name, same parameters",B,"Method overloading allows multiple methods with the same name but different parameter lists (number, type, or order).",Java Fundamentals 2,text,
125,Can two methods have the same name and parameters but different return types?,"Yes, always allowed","Yes, always allowed","Yes, if access modifiers differ",Only in different classes,B,Methods with same name and parameters but different return types cause compilation error - return type alone cannot distinguish overloaded methods.,Java Fundamentals 2,text,
126,What is the difference between parameters and arguments?,No difference,No difference,"Arguments are in method definition, parameters are passed values",Both are the same thing,B,"Parameters are variables in method definition, arguments are actual values passed when calling the method.",Java Fundamentals 2,text,
127,What happens if a method doesn't have a return statement but declares a return type?,Runtime error,Runtime error,Returns null,Returns default value,B,"Non-void methods must have a return statement on all execution paths, otherwise compilation error occurs.",Java Fundamentals 2,text,
128,What is the return type for a method that doesn't return anything?,Incorrect,null,void,None,C,Methods that don't return a value use 'void' as the return type.,Java Fundamentals 2,text,
129,Can a method have multiple return statements?,"No, only one allowed","No, only one allowed","Yes, all execute",Compilation error,B,"A method can have multiple return statements, but only one will execute per method call depending on program flow.",Java Fundamentals 2,text,
130,What is pass-by-value in Java?,Passing variable names,Passing variable names,Passing copies of values,Passing object references,C,"Java uses pass-by-value: for primitives, the value is copied; for objects, the reference value is copied.",Java Fundamentals 2,text,
131,What happens when you pass an object to a method?,The object itself is copied,The object itself is copied,The object becomes immutable,The object is moved,B,"When passing objects, a copy of the reference is passed, allowing the method to modify the object's state.",Java Fundamentals 2,text,
132,What is method signature in Java?,Method name only,Method name only,Method name + parameters,Method name + parameters + return type,C,Method signature consists of method name and parameter list (types and order). Return type is not part of the signature.,Java Fundamentals 2,text,
133,Can a method call itself?,"No, not allowed","Yes, through recursion",Only static methods,Only in constructors,B,"Methods can call themselves recursively, but must have a base case to prevent infinite recursion.",Java Fundamentals 3,text,
134,What is the maximum number of parameters a method can have?,64,65,255,No practical limit,D,"Java has no practical limit on method parameters, though very long parameter lists are discouraged for readability.",Java Fundamentals 3,text,
135,What happens if you don't specify an access modifier for a method?,Compilation error,Compilation error,Private access,Package-private access,D,"Without explicit access modifier, methods have package-private (default) access, visible within the same package.",Java Fundamentals 3,text,
136,Can static methods access instance variables directly?,"Yes, always","Yes, always",Only final variables,Only if static,B,"Static methods cannot directly access instance variables because they belong to the class, not to any specific instance.",Java Fundamentals 3,text,
137,What is variable arguments (varargs) in Java?,Incorrect,Fixed number of parameters,Different types of parameters,No parameters,B,Varargs allows methods to accept variable number of parameters of the same type using Type... syntax.,Java Fundamentals 3,text,
138,What is the correct varargs syntax?,method(int... nums),method(int... nums),method(int nums...),method(...int nums),A,Varargs syntax uses three dots after the type: returnType methodName(Type... paramName).,Java Fundamentals 3,text,
139,Where must varargs parameter be placed in method signature?,Incorrect,First parameter,Any position,Middle parameter,B,Varargs parameter must be the last parameter in the method signature.,Java Fundamentals 3,text,
140,What is method hiding in Java?,Instance method overriding,Instance method overriding,Method overloading,Static method in subclass with same signature,D,Method hiding occurs when a subclass declares a static method with the same signature as a static method in superclass.,Java Fundamentals 3,text,
141,Can you override a static method?,"Yes, with @Override",No,"Yes, but only in interfaces",Only with same return type,B,"Static methods cannot be overridden, they are hidden. The method called depends on the declared type, not runtime type.",Java Fundamentals 3,text,
142,What is the difference between method overriding and method hiding?,No difference,No difference,"Hiding: instance methods, Overriding: static methods",Both are the same concept,B,"Method overriding applies to instance methods (polymorphic), method hiding applies to static methods (not polymorphic).",Java Fundamentals 3,text,
143,What are the four pillars of Object-Oriented Programming?,"Encapsulation, Inheritance, Polymorphism, Abstraction","Encapsulation, Inheritance, Polymorphism, Abstraction","Public, Private, Protected, Static","Creation, Destruction, Modification, Access",A,"The four fundamental principles of OOP are Encapsulation (data hiding), Inheritance (code reuse), Polymorphism (many forms), and Abstraction (hiding complexity).",OOP Concepts,text,
